report,tier,path,age_days,size_bytes,verdict,archived_path
comprehensive-gate-aa9a30df,warm,comprehensive-gate-aa9a30df,13.3,21934,,
gate-4-1-upgrade,warm,gate-4-1-upgrade,16.7,42592,,
gate-5-1-upgrade,warm,gate-5-1-upgrade,16.7,63010,,
gate-5-2,warm,gate-5-2,16.7,1051426,,
gate-5-2-acceptance,warm,gate-5-2-acceptance,16.7,36289,,
gate-5-2-r1,warm,gate-5-2-r1,16.7,26892,,
gate-5-2-r1-acceptance,warm,gate-5-2-r1-acceptance,16.7,102212,,
gate-5-3,warm,gate-5-3,16.7,439763,,
gate-5-3-acceptance,warm,gate-5-3-acceptance,16.7,33354,,
gate-5-4-known-issue-closure,warm,gate-5-4-known-issue-closure,16.7,757848,PASS_HANDOFF_COMPLETE,
gate-state-machine-upgrade-2026-04-30,warm,gate-state-machine-upgrade-2026-04-30,16.7,13131,PASS_HANDOFF_COMPLETE,
gate-state-machine-upgrade-session-2026-05-01,warm,gate-state-machine-upgrade-session-2026-05-01,16.7,147246,PASS_HANDOFF_COMPLETE,
round4-agent1-fsm,warm,round4-agent1-fsm,16.7,71439,PASS_HANDOFF_COMPLETE,
sprint3_emdash_bridge,warm,sprint3_emdash_bridge,16.7,170371,PASS_HANDOFF_COMPLETE,
