# Package file sizes (bytes)

CLAIMS_LEDGER.yaml | 2260 bytes
COLD_REVIEW_ACTIVE_PROOF_AUDIT.md | 1462 bytes
COLD_REVIEW_ADJUDICATION.md | 1163 bytes
COLD_REVIEW_AI_FAILURE_PATTERN_AUDIT.md | 1987 bytes
COLD_REVIEW_HANDOFF_COMPLETENESS_AUDIT.md | 1654 bytes
COLD_REVIEW_REQUIREMENTS_AUDIT.md | 2050 bytes
CONSUMER_API_PROOF_AUDIT.md | 1202 bytes
CTO_OPERATOR_INSIGHT_REVIEW.md | 1344 bytes
CURRENT_STATE.yaml | 3912 bytes
CYCLE_TRACKER.md | 966 bytes
DIFF_BASE_SCOPE_AUDIT.md | 1130 bytes
DIRTY_WORKTREE_RECURRENCE.md | 782 bytes
DOMAIN_ADDENDUM_model_id_validation.md | 1848 bytes
DOWNSTREAM_CONSUMER_READINESS.md | 820 bytes
EVIDENCE_ADEQUACY_ASSESSMENT.md | 1458 bytes
EVIDENCE_CONSISTENCY_REGISTER.md | 1660 bytes
EVIDENCE_LEDGER.yaml | 2927 bytes
EXPORT_CHANNEL_AUDIT.md | 792 bytes
FINAL_PACKET_AUDITOR_REPORT.md | 1540 bytes
FLAKE_TIMEOUT_AUDIT.md | 601 bytes
GATE_EFFECTIVENESS_LOG.md | 1398 bytes
GATE_PACKAGE_VALIDATION_REPORT.md | 5039 bytes
GATE_PROFILE_SELECTION.md | 2431 bytes
HANDOFF.md | 2409 bytes
NEXT_PROMPT_DECISION.md | 660 bytes
OUTPUT_CONTRACT_CONSISTENCY_AUDIT.md | 487 bytes
PACKAGE_MANIFEST.md | 2924 bytes
PRODUCTION_CALLER_AUDIT.md | 1225 bytes
PROMPT_CONTRACT_REVIEW.md | 1536 bytes
REQUIRED_TEST_SET_EXACTNESS.md | 964 bytes
STALE_FILE_REGISTER.yaml | 226 bytes
STRANDED_HELPER_AUDIT.md | 1260 bytes
WARNING_OUTPUT_AUDIT.md | 335 bytes
gate_hash.txt | 128 bytes
git_status_final.txt | 0 bytes
mermaid_render.txt | 627 bytes
package_file_hashes.txt | 3270 bytes
package_file_sizes.txt | 1398 bytes
raw_test_output.txt | 788 bytes
